Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
246	10.5	14	0.25	0.8666668	18	38	1	8
247	7.75	2	0.25	0.6666668	21	6	1	2
248	36.75	1.5	14.75	0.4	86	4	47	1
249	26.5	6.5	167	0.4	57	24	319	2
250	117	27.75	84.5	50.2666668	345	57	318	331
251	164.5	47	103	41.6	324	158	273	257
252	144.25	15	110	48.2666668	365	39	354	332
253	121.75	126	6	3.4666668	330	356	13	31
254	81.75	24	58	39.1333332	295	80	156	271
255	82.75	50.75	29.75	3.0666668	301	116	74	27
256	113.75	40	4.75	11.3333332	320	144	8	58
257	93.5	49.5	42.25	38.6666668	316	151	149	223
258	150	183.75	166.25	0.8666668	357	356	410	2
259	136.25	219.5	272.25	0.4666668	358	347	450	1
260	200.5	270	262	0.6	356	378	458	2
261	0.25	0.25	0.25	0.6	1	1	1	1
262	4.25	3.25	0.5	4.8	12	6	2	55
263	193.5	33.25	189.25	194.5333332	400	80	327	473
264	23.25	11	168	133.8	46	29	339	487
265	203.75	44.75	224.5	150.4666668	398	142	323	418
266	90.25	55.25	220.75	95.6	277	157	352	405
267	206.25	31.75	168.75	130.6	410	68	333	404
268	41.5	26	178	184.4666668	97	59	328	434
269	181.25	70.75	179.25	100.8	360	163	343	360
270	161	25.25	203	148.6	350	59	335	474
271	348.5	7.5	11.25	3.6666668	415	18	17	17
272	372.5	2.75	13.25	2.8666668	424	6	39	14
273	380	31.75	18.5	2.8666668	450	94	51	9
274	223	192.5	194.5	164.6666668	375	424	360	403
275	130.75	136.75	176.75	162.3333332	376	348	343	409
276	287.75	210	191	135.7333332	409	447	338	425
277	293.5	212.75	187.5	153.1333332	404	442	342	460
278	311.25	246.25	225	113.5333332	458	432	379	484
279	192	88.75	211	149	362	185	394	487
280	294.75	186.75	220	126	484	421	410	491
281	390.25	76.75	24.5	30.7333332	422	276	54	408
282	419.75	27	3.25	1.6666668	456	48	4	9
283	419.75	27	3.25	1.6666668	456	48	4	9
284	212.25	54.5	244.75	176.2	446	164	417	476
285	180	34.25	7.5	116.3333332	348	90	21	451
286	34	37.25	210.5	183	132	98	413	461
287	16.75	63.5	200.5	189.6666668	47	158	379	467
288	2.25	5	6	7.8	5	14	20	33
289	169.75	42.25	207.75	191.2	338	80	391	465
290	183.5	42.75	216.5	185.8	369	110	387	487
291	85.25	41.5	219.75	186.0666668	255	105	394	488
292	386	27.25	13	22.6	478	61	34	156
293	380.25	296.5	12.5	5.4	472	456	26	33
294	382.75	167.75	69.5	2.5333332	481	324	203	11
295	165.75	16.75	301.5	234.6666668	353	34	409	481
296	171.5	11	251.25	239.8666668	373	29	428	448
297	118	8.25	212.5	245.2666668	342	24	389	479
298	165.75	16.75	182	236.1333332	338	45	336	472
299	166.75	15.5	185.75	190.4666668	332	47	342	483
300	146.75	16	167.25	225.1333332	317	58	336	481
301	25.5	215.5	76	132	76	434	153	502
302	55.5	224.5	85.75	142.7333332	101	376	205	489
303	15	136.5	152.75	7.8666668	32	398	312	76
304	35.25	210.75	155.5	160.5333332	82	405	211	504
305	234.25	136.75	145.25	146	421	368	301	439
306	69.5	156	117.5	176.2666668	169	430	274	437
307	194	101	100.25	208.1333332	385	391	270	436
308	185	245.5	183	1.9333332	383	399	337	12
