Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
159	0.068125	0.67	0.629375	0.002166667	0.23	0.9125	1.0725	0.005
160	0.000625	0.2625	0.008125	0.018	0.0025	0.955	0.01	0.065
161	0.25875	0.081875	0.0075	0.117333333	0.865	0.175	0.01	0.6425
162	0.00625	0.28375	0.008125	0.041333333	0.0125	0.97	0.015	0.15
163	0.0025	0.55625	0.011875	0.035	0.01	1.16	0.0225	0.1875
164	0.003125	0.505625	0.0125	0.0605	0.005	1.095	0.0275	0.4175
165	0.009375	0.454375	0.011875	0.036333333	0.015	0.9125	0.0225	0.13
166	0.003125	0.345	0.464375	0.015166667	0.005	0.89	0.78	0.085
167	0.02	0.609375	0.59125	0.000666667	0.05	0.905	1.1675	0.005
168	0.038125	0.596875	0.513125	0.001166667	0.0725	0.9425	0.9175	0.005
169	0.02	0.609375	0.59125	0.000666667	0.05	0.905	1.1675	0.005
170	0.06	0.589375	0.609375	0.001666667	0.15	0.9	1.0175	0.005
171	0.003125	0.45875	0.011875	0.054833333	0.005	0.9675	0.0225	0.2475
172	0.003125	0.4675	0.458125	0.019666667	0.005	1.135	0.705	0.16
173	0.00125	0.49125	0.013125	0.065166667	0.0025	1.0875	0.015	0.505
174	0.00125	0.00125	0.001875	0.006	0.0025	0.0025	0.0025	0.035
175	0.00125	0.001875	0.00125	0.004666667	0.0025	0.0025	0.005	0.04
176	0.0025	0.3975	0.014375	0.06	0.0075	0.85	0.0225	0.21
177	0.001875	0.480625	0.0375	0.053	0.005	1.035	0.0725	0.48
178	0.001875	0.75625	0.0425	0.001833333	0.0025	1.1975	0.11	0.005
179	0.19875	0.75875	0.53625	0.001333333	0.5825	1.22	1.0225	0.0025
180	0.025	0.778125	0.049375	0.001666667	0.09	1.27	0.13	0.005
181	0.003125	0.256875	0.00875	0.041333333	0.01	0.87	0.0175	0.2475
182	0.003125	0.485625	0.03	0.057666667	0.0075	1.0175	0.09	0.285
183	0.005	0.426875	0.01125	0.05	0.0125	0.85	0.0175	0.19
184	0.004375	0.465	0.014375	0.061	0.0125	0.935	0.0275	0.25
185	0.009375	0.210625	0.00375	0.0415	0.0275	0.7375	0.0125	0.205
186	0.00375	0.258125	0.015	0.058	0.0075	0.9725	0.0275	0.35
187	0.215	0.535625	0.565625	0.001833333	0.7775	0.9225	1.12	0.005
188	0.0225	0.4925	0.40125	0.001333333	0.065	0.9	0.9975	0.0025
189	0.254375	0.529375	0.430625	0.001333333	0.865	0.905	1.12	0.005
190	0.018125	0.49625	0.01875	0.0095	0.0625	0.9225	0.0425	0.0525
191	0.028125	0.030625	0.004375	0.0325	0.08	0.0425	0.01	0.34
192	0.044375	0.03625	0.86	0.003166667	0.12	0.075	1.105	0.0125
193	0.04625	0.02375	0.04375	0.010666667	0.125	0.0625	0.15	0.045
194	0.07375	0.015	0.010625	0.025166667	0.2075	0.035	0.0225	0.17
195	0.055625	0.05125	0.55	0.002	0.095	0.1675	1.1075	0.0125
196	0.076875	0.039375	0.8575	0.003333333	0.1825	0.1275	1.1025	0.01
197	0.215625	0.421875	0.83875	0.0015	0.8525	0.9825	1.0675	0.005
198	0.063125	0.4025	0.859375	0.001833333	0.18	1.165	1.15	0.005
199	0.01125	0.361875	0.86875	0.001333333	0.0225	1.12	1.115	0.005
200	0.004375	0.29625	0.00625	0.043666667	0.0125	1.0425	0.0175	0.2125
201	0.00375	0.326875	0.006875	0.0565	0.01	0.955	0.01	0.3075
